Team,Win,Loss,Tie,Total
GB,104,136,1,241
SEA,106,132,1,239
IND,106,133,1,240
CLE,107,131,3,241
MIA,109,126,1,236
KC,110,129,0,239
PIT,110,127,3,240
DAL,110,129,3,242
WSH,111,127,3,241
TEN,113,125,1,239
ARI,113,126,1,240
NO,113,128,1,242
CHI,116,125,0,241
LAC,117,121,1,239
LAR,118,120,1,239
BAL,118,119,3,240
TB,119,123,0,242
NYG,120,119,3,242
DET,122,120,0,242
MIN,123,118,0,241
BUF,124,114,0,238
NE,126,112,0,238
CIN,126,114,1,241
CAR,127,114,0,241
PHI,127,114,1,242
HOU,129,109,1,239
SF,129,109,1,239
LV,130,109,0,239
JAX,131,108,1,240
ATL,134,108,0,242
DEN,136,103,0,239
NYJ,140,96,0,236
